subject	model_label	fit_response	smoothed	spherical_noise	separate_sigmas	n	fisher_information	condition
2	15	False	True	True	False	13.0	0.111158065	narrow
2	15	False	True	True	False	14.0	0.054546937	narrow
2	15	False	True	True	False	15.0	0.06163277	narrow
2	15	False	True	True	False	16.0	0.086442746	narrow
2	15	False	True	True	False	17.0	0.1114222	narrow
2	15	False	True	True	False	18.0	0.13284223	narrow
2	15	False	True	True	False	19.0	0.1496824	narrow
2	15	False	True	True	False	20.0	0.16212997	narrow
2	15	False	True	True	False	21.0	0.17110641	narrow
2	15	False	True	True	False	22.0	0.1779704	narrow
2	15	False	True	True	False	23.0	0.18425496	narrow
2	15	False	True	True	False	24.0	0.19136922	narrow
2	15	False	True	True	False	25.0	0.20026153	narrow
2	15	False	True	True	False	10.0	0.49510863	wide
2	15	False	True	True	False	11.0	0.37910977	wide
2	15	False	True	True	False	12.0	0.22877377	wide
2	15	False	True	True	False	13.0	0.10811874	wide
2	15	False	True	True	False	14.0	0.112338275	wide
2	15	False	True	True	False	15.0	0.07698452	wide
2	15	False	True	True	False	16.0	0.038539845	wide
2	15	False	True	True	False	17.0	0.027549723	wide
2	15	False	True	True	False	18.0	0.02944809	wide
2	15	False	True	True	False	19.0	0.035163783	wide
2	15	False	True	True	False	20.0	0.041931007	wide
2	15	False	True	True	False	21.0	0.048674416	wide
2	15	False	True	True	False	22.0	0.05483289	wide
2	15	False	True	True	False	23.0	0.06011728	wide
2	15	False	True	True	False	24.0	0.06440974	wide
2	15	False	True	True	False	25.0	0.06769957	wide
2	15	False	True	True	False	26.0	0.07004049	wide
2	15	False	True	True	False	27.0	0.07152271	wide
2	15	False	True	True	False	28.0	0.07225458	wide
2	15	False	True	True	False	29.0	0.07235184	wide
2	15	False	True	True	False	30.0	0.07193124	wide
2	15	False	True	True	False	31.0	0.07110683	wide
2	15	False	True	True	False	32.0	0.06998845	wide
2	15	False	True	True	False	33.0	0.06868085	wide
2	15	False	True	True	False	34.0	0.06728295	wide
2	15	False	True	True	False	35.0	0.065887034	wide
2	15	False	True	True	False	36.0	0.06457692	wide
2	15	False	True	True	False	37.0	0.063426115	wide
2	15	False	True	True	False	38.0	0.06249492	wide
