subject	model_label	fit_response	smoothed		Unnamed: 0	n	fisher_information	condition	log(fisher_information)
5	31	False	True	22	22	32.0	0.49236846	narrow	-0.7085279403383062
5	31	False	True	23	23	33.0	0.47218883	narrow	-0.7503763098413483
5	31	False	True	24	24	34.0	0.43596146	narrow	-0.8302014340355391
5	31	False	True	25	25	35.0	0.3871014	narrow	-0.9490686047685467
5	31	False	True	26	26	36.0	0.33050525	narrow	-1.1071327347938689
5	31	False	True	27	27	37.0	0.27155292	narrow	-1.3035982414749503
5	31	False	True	28	28	38.0	0.21521619	narrow	-1.536112221182311
5	31	False	True	29	29	39.0	0.16542731	narrow	-1.7992233951494714
5	31	False	True	30	30	40.0	0.12476592	narrow	-2.081315937262179
5	31	False	True	31	31	10.0	93.35379	wide	4.536396469056455
5	31	False	True	32	32	11.0	10.215278	wide	2.3238844427793457
5	31	False	True	33	33	12.0	0.7519581	wide	-0.2850746746697138
5	31	False	True	34	34	13.0	0.55518675	wide	-0.5884507353480978
5	31	False	True	35	35	14.0	0.3943884	wide	-0.9304190684508971
5	31	False	True	36	36	15.0	0.26066956	wide	-1.3445017274222917
5	31	False	True	37	37	16.0	0.3343484	wide	-1.0955717158981157
5	31	False	True	38	38	17.0	0.7097164	wide	-0.34288982536255047
5	31	False	True	39	39	18.0	0.90016013	wide	-0.10518260926188551
5	31	False	True	40	40	19.0	0.10078687	wide	-2.2947471897656784
5	31	False	True	41	41	20.0	0.017111799	wide	-4.067987053414076
5	31	False	True	42	42	21.0	0.020071613	wide	-3.9084487506937653
5	31	False	True	43	43	22.0	0.027714103	wide	-3.58581386177936
5	31	False	True	44	44	23.0	0.037247457	wide	-3.2901716049433416
5	31	False	True	45	45	24.0	0.04713346	wide	-3.054772126779787
5	31	False	True	46	46	25.0	0.056526437	wide	-2.8730468387617685
5	31	False	True	47	47	26.0	0.064970106	wide	-2.733828022568787
5	31	False	True	48	48	27.0	0.072229646	wide	-2.627904707942052
5	31	False	True	49	49	28.0	0.07820962	wide	-2.54836262109414
5	31	False	True	50	50	29.0	0.082915656	wide	-2.489931380630554
5	31	False	True	51	51	30.0	0.08643221	wide	-2.448394871719201
5	31	False	True	52	52	31.0	0.088904314	wide	-2.420194611205452
5	31	False	True	53	53	32.0	0.09052109	wide	-2.4021724167515175
5	31	False	True	54	54	33.0	0.09149816	wide	-2.3914364161924735
5	31	False	True	55	55	34.0	0.09206156	wide	-2.3852977952662693
5	31	False	True	56	56	35.0	0.092432536	wide	-2.381276241102502
5	31	False	True	57	57	36.0	0.09281346	wide	-2.3771636066042676
5	31	False	True	58	58	37.0	0.093376346	wide	-2.371117220639744
5	31	False	True	59	59	38.0	0.094252855	wide	-2.361774161335615
5	31	False	True	60	60	39.0	0.095527865	wide	-2.3483372939502765
5	31	False	True	61	61	40.0	0.09723554	wide	-2.330618996484894
6	31	False	True	0	0	10.0	13.340749	narrow	2.5908231858378348
6	31	False	True	1	1	11.0	4.5575137	narrow	1.5167772336001728
6	31	False	True	2	2	12.0	0.990332	narrow	-0.009715038536576405
6	31	False	True	3	3	13.0	0.2939812	narrow	-1.2242394592662924
6	31	False	True	4	4	14.0	0.13482125	narrow	-2.0038054519784043
6	31	False	True	5	5	15.0	0.09875831	narrow	-2.315079726842744
6	31	False	True	6	6	16.0	0.11589769	narrow	-2.155047459810034
6	31	False	True	7	7	17.0	0.15527584	narrow	-1.86255213079452
6	31	False	True	8	8	18.0	0.20085941	narrow	-1.6051500683905702
6	31	False	True	9	9	19.0	0.24387614	narrow	-1.4110948055239032
6	31	False	True	10	10	20.0	0.27983427	narrow	-1.2735577439077588
6	31	False	True	11	11	21.0	0.3069349	narrow	-1.1811196059984328
6	31	False	True	12	12	22.0	0.32501402	narrow	-1.1238869591212977
6	31	False	True	13	13	23.0	0.33481777	narrow	-1.094168865311762
6	31	False	True	14	14	24.0	0.33752528	narrow	-1.0861148677709913
6	31	False	True	15	15	25.0	0.33445203	narrow	-1.0952618177695235
6	31	False	True	16	16	26.0	0.32687724	narrow	-1.1181705914139632
6	31	False	True	17	17	27.0	0.3159542	narrow	-1.1521580126084254
6	31	False	True	18	18	28.0	0.3026716	narrow	-1.1951068896223185
6	31	False	True	19	19	29.0	0.2878466	narrow	-1.2453275796375638
6	31	False	True	20	20	30.0	0.2721348	narrow	-1.3014577472141367
6	31	False	True	21	21	31.0	0.25604782	narrow	-1.3623910550719385
6	31	False	True	22	22	32.0	0.23997512	narrow	-1.4272200276805727
6	31	False	True	23	23	33.0	0.22420439	narrow	-1.4951971878042878
6	31	False	True	24	24	34.0	0.20894131	narrow	-1.56570187984992
6	31	False	True	25	25	35.0	0.19432624	narrow	-1.6382168828235597
6	31	False	True	26	26	36.0	0.18044867	narrow	-1.7123089183832334
6	31	False	True	27	27	37.0	0.16735901	narrow	-1.7876140135150445
6	31	False	True	28	28	38.0	0.15507838	narrow	-1.863824612455276
6	31	False	True	29	29	39.0	0.14360605	narrow	-1.9406814923362754
6	31	False	True	30	30	40.0	0.13292572	narrow	-2.0179648030181028
6	31	False	True	31	31	10.0	20.375517	wide	3.0143340330381347
6	31	False	True	32	32	11.0	6.888023	wide	1.9297841062603889
6	31	False	True	33	33	12.0	2.8334873	wide	1.0415082145282033
6	31	False	True	34	34	13.0	0.9050236	wide	-0.09979425827415273
6	31	False	True	35	35	14.0	0.38142934	wide	-0.9638296616639118
6	31	False	True	36	36	15.0	0.19849868	wide	-1.6169728287510579
6	31	False	True	37	37	16.0	0.11232395	wide	-2.1863681719440766
6	31	False	True	38	38	17.0	0.06793778	wide	-2.6891629926740594
6	31	False	True	39	39	18.0	0.045566734	wide	-3.088577346233066
6	31	False	True	40	40	19.0	0.035916716	wide	-3.326552465117449
6	31	False	True	41	41	20.0	0.033970926	wide	-3.3822502378346915
6	31	False	True	42	42	21.0	0.03669296	wide	-3.3051703679355775
6	31	False	True	43	43	22.0	0.042093217	wide	-3.16786866766399
6	31	False	True	44	44	23.0	0.048825394	wide	-3.019504732615497
6	31	False	True	45	45	24.0	0.055980936	wide	-2.882744074777377
6	31	False	True	46	46	25.0	0.06296195	wide	-2.76522470330687
6	31	False	True	47	47	26.0	0.06939305	wide	-2.6679685605763517
6	31	False	True	48	48	27.0	0.07505706	wide	-2.5895066547074426
6	31	False	True	49	49	28.0	0.079847194	wide	-2.5276405458277384
6	31	False	True	50	50	29.0	0.083732456	wide	-2.480128610818101
6	31	False	True	51	51	30.0	0.08673216	wide	-2.4449305297186887
6	31	False	True	52	52	31.0	0.088897	wide	-2.420276882813457
6	31	False	True	53	53	32.0	0.09029659	wide	-2.4046555822844193
6	31	False	True	54	54	33.0	0.091009654	wide	-2.3967896901801238
6	31	False	True	55	55	34.0	0.09111798	wide	-2.3956001286578568
6	31	False	True	56	56	35.0	0.090702266	wide	-2.400172938711165
6	31	False	True	57	57	36.0	0.08983919	wide	-2.4097339846210892
6	31	False	True	58	58	37.0	0.08860006	wide	-2.4236227441704283
6	31	False	True	59	59	38.0	0.087049745	wide	-2.441275542123177
6	31	False	True	60	60	39.0	0.08524658	wide	-2.462207280925284
6	31	False	True	61	61	40.0	0.08324229	wide	-2.485999767023009
7	31	False	True	0	0	10.0	17.46615	narrow	2.8602647220687136
7	31	False	True	1	1	11.0	6.9523826	narrow	1.9390844209711868
7	31	False	True	2	2	12.0	2.1572268	narrow	0.7688235079157237
7	31	False	True	3	3	13.0	3.8872752	narrow	1.3577084494667842
7	31	False	True	4	4	14.0	2.9770808	narrow	1.0909432230828522
7	31	False	True	5	5	15.0	1.9119167	narrow	0.6481062467345359
7	31	False	True	6	6	16.0	1.3955925	narrow	0.3333190562833677
7	31	False	True	7	7	17.0	1.1543999	narrow	0.14358064185243372
7	31	False	True	8	8	18.0	1.0036781	narrow	0.003671352330867982
7	31	False	True	9	9	19.0	0.8839527	narrow	-0.1233517245633631
7	31	False	True	10	10	20.0	0.77958995	narrow	-0.2489872026580938
7	31	False	True	11	11	21.0	0.6863901	narrow	-0.3763091539893212
7	31	False	True	12	12	22.0	0.6030298	narrow	-0.5057886639072358
7	31	False	True	13	13	23.0	0.5288905	narrow	-0.636973862879043
7	31	False	True	14	14	24.0	0.46343237	narrow	-0.7690948161649626
7	31	False	True	15	15	25.0	0.4060274	narrow	-0.9013346339728667
7	31	False	True	16	16	26.0	0.3559564	narrow	-1.0329470275405157
7	31	False	True	17	17	27.0	0.31245235	narrow	-1.163303301431938
7	31	False	True	18	18	28.0	0.27474907	narrow	-1.2918970705994945
7	31	False	True	19	19	29.0	0.24211596	narrow	-1.4183384940387183
7	31	False	True	20	20	30.0	0.21387994	narrow	-1.5423404494327846
7	31	False	True	21	21	31.0	0.18943645	narrow	-1.6637016669046494
